gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
CPT2,51,13,1,0,0,0,1,70
NHEJ1,9,5,1,0,0,0,0,27
ESCO2,47,13,0,0,0,0,1,91
SLC29A3,9,5,0,2,0,0,0,36
G6PC3,10,1,0,0,0,0,0,42
RELN,10,5,6,2,0,0,0,182
LDB3,4,1,20,0,0,0,0,110
COQ2,3,11,2,0,0,0,0,52
PHGDH,21,10,1,0,0,0,0,75
PDE6B,48,15,6,2,0,0,0,159
ODAD2,29,4,5,0,0,0,0,164
SLC19A3,15,4,0,0,0,0,0,40
GNPTG,33,8,3,0,0,0,2,74
MCOLN1,23,11,2,2,0,0,0,69
RSPH4A,26,5,0,1,0,0,1,115
MAT1A,2,1,2,0,0,0,0,39
ABCB4,29,7,1,0,0,0,0,128
CLN6,18,6,0,1,0,0,0,36
LMAN1,2,1,0,0,0,0,0,96
MOGS,11,3,11,2,0,0,0,148
SUCLA2,8,2,0,0,0,0,0,67
ACADSB,7,12,1,0,0,0,0,79
KPTN,8,1,1,0,0,0,0,73
RETREG1,9,2,5,0,0,0,0,83
PEX10,28,8,1,0,0,0,0,51
SELENON,36,2,6,1,0,0,0,95
HGD,27,8,0,0,0,0,0,77
SNX14,13,3,0,0,0,0,0,178
DNAAF2,21,5,5,1,0,0,0,148
GFPT1,8,2,1,0,0,0,0,74
NGF,0,0,0,0,0,0,0,11
GATM,6,1,2,0,0,0,0,37
BCL10,4,0,0,0,0,0,0,13
BBS7,25,12,1,0,0,0,0,88
TRMU,28,16,2,0,0,0,0,72
IFT74,16,7,5,0,0,0,0,146
MSH2,77,11,6,1,0,0,0,16
LYRM7,1,0,0,0,0,0,0,29
NT5C2,13,4,0,1,0,0,0,124
HSD3B7,6,4,2,0,0,0,0,63
FANCG,64,16,0,0,0,0,0,88
DHCR7,23,12,0,0,0,0,0,43
AP1S1,4,3,0,0,0,0,0,19
CTH,3,1,3,0,0,0,0,76
ESRRB,1,2,0,0,0,0,0,33
SPATA7,17,4,3,3,0,0,0,82
SGCG,21,4,0,0,0,0,0,31
RASGRP2,6,1,0,0,0,0,0,87
GEMIN5,3,6,6,0,0,0,0,302
PYROXD1,6,2,2,0,0,0,0,127
GPT2,3,2,0,0,0,0,0,63
WHRN,16,4,2,1,0,0,0,101
GNAT2,10,1,0,0,0,0,0,65
MYO18B,43,14,6,3,0,0,0,387
TRAPPC9,20,6,3,0,0,0,0,129
ABCG8,20,7,1,1,0,0,0,122
LRBA,31,13,5,0,0,0,0,319
GLS,1,1,0,0,0,0,0,106
CNNM4,13,2,3,0,0,0,0,75
CEP57,7,4,4,0,0,0,0,84
WWOX,31,7,3,1,0,0,0,86
AASS,6,1,0,0,0,0,0,178
ARFGEF2,2,1,1,0,0,0,0,147
MAP3K20,5,1,1,0,0,0,0,94
CAVIN1,5,0,0,0,0,0,0,44
ITK,3,0,1,1,0,0,0,73
MICOS13,2,2,0,0,0,0,0,24
MPIG6B,3,1,0,0,0,0,0,81
GP9,0,0,0,0,0,0,0,0
TNFSF11,0,1,1,0,0,0,0,28
WDR35,16,18,2,0,0,0,0,204
PMS2,129,17,6,0,0,0,0,37
CD247,3,0,1,0,0,0,0,23
SLC26A4,91,18,3,0,0,0,0,101
DNAH11,147,32,11,3,4,0,0,698
FANCM,80,14,7,1,0,0,0,243
SLC6A9,1,2,1,2,0,0,0,71
ADA,29,9,3,0,0,0,0,50
CEP78,26,6,4,1,0,0,0,144
CTNS,33,7,1,1,0,0,0,42
PEX19,2,5,4,0,0,0,0,49
A4GALT,0,0,0,0,0,0,0,3
ERCC3,26,8,3,1,0,0,0,118
KIF26A,0,0,2,0,0,0,0,232
PRG4,18,3,1,0,0,0,0,297
B4GALNT1,11,3,0,0,0,0,0,91
CD3E,5,5,1,1,0,0,0,32
TRDN,12,18,51,0,0,0,0,243
TNR,2,1,2,0,0,0,0,99
MAB21L1,0,0,0,0,0,0,0,25
CRB2,13,3,5,3,0,0,0,247
ATG7,2,0,0,0,0,0,0,136
IFT27,7,0,0,0,0,0,0,31
WRN,100,48,9,1,0,0,0,169
SLC39A13,0,1,3,0,0,0,0,52
MKKS,28,3,1,1,0,0,0,61
ALDH5A1,30,1,1,0,0,0,0,68
INTU,1,2,12,0,0,0,0,163
ORC6,2,1,1,0,0,0,0,65
DYNC2I1,8,3,4,0,1,0,0,182
GALNT2,2,0,0,0,0,0,0,71
MTHFR,34,8,1,1,0,0,0,73
SLC25A4,3,1,1,0,0,0,0,39
CTSA,21,5,6,0,1,0,0,67
C2CD3,28,11,3,0,0,0,0,335
